,player_id,perf_date,season,latest,player_url,player_positions,overall,potential,value_eur,wage_eur,age,height_cm,weight_kg,league_id,league_level,club_team_id,club_position,club_jersey_number,club_loaned_from,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,player_face_url,best_position,2nd_position,value_million_eur
156734,260401,2022-09-26 00:00:00,2022.0,True,/player/260401/mamadi-caba-camara/230002,"CAM, RM, LM",62,77,925000.0,1000.0,18,174,67,14.0,2.0,1793.0,RES,28.0,,Right,2,3,1,Medium/Medium,Lean (170-185),2300000.0,,,78.0,51.0,59.0,66.0,41.0,44.0,48,54,34,65,41,65,48,41,58,63,80,77,80,50,83,52,53,57,33,43,54,37,56,66,49,56.0,44,45,38,14,12,7,10,12,,55+2,55+2,55+2,62,60,60,60,62,62+2,62+2,62+2,62+2,58+2,58+2,58+2,62+2,53+2,51+2,51+2,51+2,53+2,51+2,44+2,44+2,44+2,51+2,16+2,https://cdn.sofifa.net/players/260/401/23_120.png,CAM, RM,0.925
156735,260406,2022-09-26 00:00:00,2022.0,True,/player/260406/kaide-gordon/230002,"RW, LW",62,84,1200000.0,3000.0,17,173,65,13.0,1.0,9.0,RES,49.0,,Left,3,3,1,High/Medium,Lean (170-185),3400000.0,,,72.0,57.0,54.0,65.0,25.0,46.0,55,60,42,58,42,64,45,30,50,61,77,67,80,57,76,55,58,55,43,54,38,22,58,57,56,61.0,22,24,21,13,7,6,9,7,,57+2,57+2,57+2,62,60,60,60,62,60+2,60+2,60+2,60+2,54+2,54+2,54+2,60+2,45+2,41+2,41+2,41+2,45+2,42+2,35+2,35+2,35+2,42+2,14+2,https://cdn.sofifa.net/players/260/406/23_120.png,RW, LW,1.2
156760,261336,2022-09-26 00:00:00,2022.0,True,/player/261336/jaden-philogene-bidace/230002,"LW, RW",62,76,950000.0,10000.0,20,179,67,14.0,2.0,1961.0,SUB,25.0,Aston Villa,Right,3,3,1,High/Low,Lean (170-185),,,"Injury Prone, Flair, Speed Dribbler (AI)",73.0,59.0,57.0,66.0,30.0,44.0,57,60,44,60,56,68,54,43,58,65,77,70,70,49,64,60,38,50,47,57,30,22,58,56,55,56.0,29,31,28,8,6,8,12,13,,59+2,59+2,59+2,62,61,61,61,62,61+2,61+2,61+2,62+2,55+2,55+2,55+2,62+2,47+2,44+2,44+2,44+2,47+2,45+2,37+2,37+2,37+2,45+2,14+2,https://cdn.sofifa.net/players/261/336/23_120.png,LW, RW,0.95
156817,263620,2022-09-26 00:00:00,2022.0,True,/player/263620/romeo-lavia/230002,CDM,62,83,1200000.0,2000.0,18,181,75,13.0,1.0,17.0,LDM,45.0,,Right,3,2,1,Medium/High,Normal (170-185),3500000.0,,,56.0,41.0,52.0,59.0,62.0,60.0,40,36,58,60,36,55,45,50,59,66,55,56,55,63,63,55,59,60,58,36,66,58,40,49,51,44.0,60,66,68,7,7,5,11,13,,51+2,51+2,51+2,52,53,53,53,52,54+2,54+2,54+2,54+2,57+2,57+2,57+2,54+2,59+2,61+2,61+2,61+2,59+2,60+2,62+2,62+2,62+2,60+2,15+2,https://cdn.sofifa.net/players/263/620/23_120.png,CDM,,1.2
156830,263953,2022-09-26 00:00:00,2022.0,True,/player/263953/samuel-edozie/230002,LW,62,82,1100000.0,6000.0,19,167,71,13.0,1.0,17.0,SUB,23.0,,Right,2,3,1,Medium/Medium,Lean (170-),3200000.0,,,74.0,55.0,55.0,65.0,28.0,47.0,61,55,37,56,47,67,52,42,50,65,83,66,63,52,77,59,48,48,50,50,38,23,56,56,60,57.0,22,31,36,13,11,10,7,9,,56+2,56+2,56+2,62,60,60,60,62,59+2,59+2,59+2,61+2,53+2,53+2,53+2,61+2,48+2,43+2,43+2,43+2,48+2,45+2,37+2,37+2,37+2,45+2,15+2,https://cdn.sofifa.net/players/263/953/23_120.png,LW,,1.1
156848,264349,2022-09-26 00:00:00,2022.0,True,/player/264349/james-mcatee/230002,CAM,62,80,1000000.0,10000.0,19,180,72,14.0,2.0,1794.0,SUB,28.0,Manchester City,Left,3,2,1,High/Medium,Lean (170-185),,,,59.0,60.0,58.0,67.0,40.0,57.0,51,60,42,63,53,69,63,56,61,69,56,61,64,59,53,62,60,57,62,59,43,27,56,55,58,65.0,44,42,43,12,6,6,10,11,,59+2,59+2,59+2,61,61,61,61,61,62+2,62+2,62+2,61+2,59+2,59+2,59+2,61+2,51+2,51+2,51+2,51+2,51+2,49+2,46+2,46+2,46+2,49+2,15+2,https://cdn.sofifa.net/players/264/349/23_120.png,CAM,,1.0
156854,264437,2022-09-26 00:00:00,2022.0,True,/player/264437/amadou-mbengue/230002,"CB, CDM",62,76,900000.0,2000.0,20,180,75,14.0,2.0,1793.0,SUB,27.0,,Right,2,2,1,Medium/Medium,Normal (170-185),2300000.0,,,63.0,31.0,39.0,48.0,66.0,57.0,37,26,65,49,26,42,30,34,39,53,61,65,50,52,67,42,69,59,56,29,53,64,25,29,44,42.0,65,69,64,11,9,5,6,12,,43+2,43+2,43+2,43,42,42,42,43,42+2,42+2,42+2,45+2,45+2,45+2,45+2,45+2,56+2,56+2,56+2,56+2,56+2,59+2,62+2,62+2,62+2,59+2,14+2,https://cdn.sofifa.net/players/264/437/23_120.png,CB, CDM,0.9
156866,265197,2022-09-26 00:00:00,2022.0,True,/player/265197/ayman-benarous/230002,"CAM, LM, CM",62,76,925000.0,2000.0,18,173,64,14.0,2.0,1919.0,RES,18.0,,Left,2,3,1,Medium/Low,Lean (170-185),2300000.0,,"Flair, Technical Dribbler (AI)",72.0,49.0,58.0,68.0,38.0,44.0,48,47,35,64,39,69,62,51,55,64,76,69,81,57,81,52,50,51,42,50,40,33,56,59,46,51.0,39,40,43,6,14,10,9,14,,54+2,54+2,54+2,61,60,60,60,61,62+2,62+2,62+2,61+2,57+2,57+2,57+2,61+2,52+2,49+2,49+2,49+2,52+2,49+2,43+2,43+2,43+2,49+2,16+2,https://cdn.sofifa.net/players/265/197/23_120.png,CAM, LM,0.925
156870,265514,2022-09-26 00:00:00,2022.0,True,/player/265514/jordan-james/230002,"CM, CAM",62,80,1000000.0,800.0,17,178,63,14.0,2.0,88.0,SUB,19.0,,Right,3,2,1,Medium/High,Lean (170-185),2500000.0,,,64.0,49.0,56.0,67.0,64.0,56.0,44,47,50,64,36,67,44,34,62,68,65,64,62,62,75,59,61,62,50,45,63,66,53,60,46,60.0,66,64,63,15,6,11,8,8,,56+2,56+2,56+2,59,60,60,60,59,61+2,61+2,61+2,61+2,62+2,62+2,62+2,61+2,62+2,64+2,64+2,64+2,62+2,62+2,62+2,62+2,62+2,62+2,15+2,https://cdn.sofifa.net/players/265/514/23_120.png,CM, CAM,1.0
156882,265788,2022-09-26 00:00:00,2022.0,True,/player/265788/zidane-iqbal/230002,"CM, CAM",62,80,1000000.0,9000.0,19,181,65,13.0,1.0,11.0,RES,55.0,,Right,3,4,1,High/Medium,Lean (170-185),2500000.0,,"Flair, Long Shot Taker (AI), Technical Dribbler (AI)",67.0,57.0,60.0,67.0,49.0,55.0,52,58,45,64,49,66,57,44,60,64,65,68,78,62,78,57,48,62,53,58,54,50,63,64,49,69.0,48,52,47,6,10,9,8,5,,59+2,59+2,59+2,63,63,63,63,63,64+2,64+2,64+2,63+2,62+2,62+2,62+2,63+2,57+2,57+2,57+2,57+2,57+2,56+2,52+2,52+2,52+2,56+2,13+2,https://cdn.sofifa.net/players/265/788/23_120.png,CM, CAM,1.0
156886,266147,2022-09-26 00:00:00,2022.0,True,/player/266147/jonathan-tomkinson/230002,CB,62,74,900000.0,5000.0,20,190,78,14.0,2.0,1792.0,RES,45.0,,Right,3,2,1,Low/Medium,Lean (185+),1900000.0,,,64.0,31.0,40.0,40.0,62.0,70.0,28,29,58,50,27,33,34,12,47,40,60,68,52,55,45,55,75,60,75,17,67,64,20,36,18,53.0,65,60,57,14,6,12,12,15,,43+2,43+2,43+2,39,40,40,40,39,40+2,40+2,40+2,42+2,44+2,44+2,44+2,42+2,53+2,56+2,56+2,56+2,53+2,56+2,62+2,62+2,62+2,56+2,17+2,https://cdn.sofifa.net/players/266/147/23_120.png,CB,,0.9
156942,268909,2022-09-26 00:00:00,2022.0,True,/player/268909/tony-springett/230002,"RM, LM",62,77,950000.0,4000.0,19,182,70,14.0,2.0,1792.0,RES,42.0,,Left,3,2,1,High/Medium,Normal (170-185),2400000.0,,,79.0,61.0,56.0,63.0,30.0,44.0,60,61,37,60,60,63,58,42,53,65,77,80,73,44,70,70,45,50,43,55,38,26,57,50,52,47.0,30,34,22,9,7,10,6,5,,59+2,59+2,59+2,62,60,60,60,62,60+2,60+2,60+2,61+2,53+2,53+2,53+2,61+2,48+2,43+2,43+2,43+2,48+2,45+2,37+2,37+2,37+2,45+2,11+2,https://cdn.sofifa.net/players/268/909/23_120.png,RM, LM,0.95
157009,270608,2022-09-26 00:00:00,2022.0,True,/player/270608/yehor-yarmoliuk/230002,"CAM, CM, RM",62,80,1000000.0,3000.0,18,180,72,13.0,1.0,1925.0,RES,43.0,,Right,3,2,1,Medium/Medium,Normal (170-185),2500000.0,,Playmaker (AI),66.0,56.0,63.0,63.0,42.0,58.0,59,60,41,65,52,66,53,51,63,65,69,64,53,45,67,60,55,60,60,41,50,31,62,68,58,63.0,44,48,40,9,9,5,9,8,,58+2,58+2,58+2,62,61,61,61,62,62+2,62+2,62+2,63+2,60+2,60+2,60+2,63+2,53+2,52+2,52+2,52+2,53+2,51+2,47+2,47+2,47+2,51+2,13+2,https://cdn.sofifa.net/players/270/608/23_120.png,CAM, CM,1.0
157044,271560,2022-09-26 00:00:00,2022.0,True,/player/271560/reyes-cleary/230002,ST,62,76,925000.0,3000.0,18,185,74,14.0,2.0,109.0,RES,28.0,,Right,3,2,1,Medium/Medium,Stocky (185+),2300000.0,,,74.0,62.0,50.0,59.0,29.0,62.0,37,62,57,58,53,57,56,54,42,59,73,75,65,62,69,65,61,67,71,59,35,28,59,52,64,57.0,25,27,21,7,6,9,9,10,,62+2,62+2,62+2,59,60,60,60,59,59+2,59+2,59+2,58+2,53+2,53+2,53+2,58+2,46+2,44+2,44+2,44+2,46+2,44+2,41+2,41+2,41+2,44+2,14+2,https://cdn.sofifa.net/players/271/560/23_120.png,ST,,0.925
157308,243167,2022-09-26 00:00:00,2022.0,True,/player/243167/jack-vale/230002,"ST, LW",61,73,800000.0,6000.0,21,183,70,14.0,2.0,3.0,SUB,29.0,,Right,4,3,1,Medium/Low,Normal (170-185),1700000.0,,,74.0,59.0,47.0,62.0,26.0,60.0,37,65,57,56,52,60,50,38,48,63,75,73,70,51,73,57,73,63,65,51,38,21,61,44,56,57.0,32,15,20,8,7,11,13,14,,61+2,61+2,61+2,59,60,60,60,59,58+2,58+2,58+2,58+2,51+2,51+2,51+2,58+2,43+2,41+2,41+2,41+2,43+2,41+2,38+2,38+2,38+2,41+2,15+2,https://cdn.sofifa.net/players/243/167/23_120.png,ST, LW,0.8
157380,251272,2022-09-26 00:00:00,2022.0,True,/player/251272/fabio-andre-tavares-desiderio/230002,ST,61,73,800000.0,3000.0,21,180,70,14.0,2.0,1800.0,SUB,30.0,,Right,4,3,1,High/Medium,Lean (170-185),1700000.0,,Speed Dribbler (AI),86.0,61.0,48.0,61.0,26.0,56.0,37,65,44,54,55,62,52,50,40,56,84,87,70,55,74,60,55,66,56,57,44,19,62,51,56,58.0,32,19,20,9,9,5,12,5,,61+2,61+2,61+2,60,61,61,61,60,59+2,59+2,59+2,59+2,51+2,51+2,51+2,59+2,45+2,40+2,40+2,40+2,45+2,42+2,36+2,36+2,36+2,42+2,14+2,https://cdn.sofifa.net/players/251/272/23_120.png,ST,,0.8
157385,251524,2022-09-26 00:00:00,2022.0,True,/player/251524/ateef-konate/230002,"CAM, LW",61,74,800000.0,7000.0,21,179,66,13.0,1.0,14.0,RES,42.0,,Right,3,3,1,Medium/Medium,Lean (170-185),2000000.0,,,70.0,54.0,55.0,67.0,29.0,46.0,50,53,45,59,49,68,51,56,52,64,72,68,86,54,75,58,37,32,57,54,40,23,59,54,54,51.0,21,31,43,5,11,13,12,15,,58+2,58+2,58+2,61,60,60,60,61,61+2,61+2,61+2,59+2,53+2,53+2,53+2,59+2,46+2,43+2,43+2,43+2,46+2,44+2,39+2,39+2,39+2,44+2,16+2,https://cdn.sofifa.net/players/251/524/23_120.png,CAM, LW,0.8
157453,256506,2022-09-26 00:00:00,2022.0,True,/player/256506/flynn-clarke/230002,CAM,61,74,775000.0,4000.0,19,180,73,14.0,2.0,1792.0,RES,39.0,,Right,2,2,1,High/Low,Normal (170-185),2000000.0,,,71.0,48.0,56.0,64.0,31.0,50.0,37,48,31,64,37,62,40,39,61,64,72,70,71,58,78,52,55,55,53,48,36,28,57,63,41,54.0,36,26,34,10,11,11,6,11,,54+2,54+2,54+2,59,59,59,59,59,61+2,61+2,61+2,59+2,57+2,57+2,57+2,59+2,47+2,47+2,47+2,47+2,47+2,45+2,39+2,39+2,39+2,45+2,15+2,https://cdn.sofifa.net/players/256/506/23_120.png,CAM,,0.775
157507,259097,2022-09-26 00:00:00,2022.0,True,/player/259097/salah-eddine-oulad-mhand/230002,"CM, CAM, CDM",61,80,825000.0,1000.0,18,177,70,14.0,2.0,1952.0,SUB,10.0,,Right,4,3,1,High/Medium,Normal (170-185),2100000.0,,"Long Passer (AI), Technical Dribbler (AI)",65.0,57.0,62.0,64.0,51.0,52.0,58,55,38,62,54,63,63,63,63,62,72,59,71,63,70,59,44,56,53,60,48,53,56,65,60,58.0,55,52,48,14,12,9,8,9,,57+2,57+2,57+2,62,61,61,61,62,62+2,62+2,62+2,61+2,61+2,61+2,61+2,61+2,57+2,57+2,57+2,57+2,57+2,56+2,52+2,52+2,52+2,56+2,16+2,https://cdn.sofifa.net/players/259/097/23_120.png,CM, CAM,0.825
157515,259403,2022-09-26 00:00:00,2022.0,True,/player/259403/joel-ideho/230002,"LM, RM, CF",61,78,825000.0,4000.0,18,175,70,13.0,1.0,1.0,RES,51.0,,Right,3,2,1,Medium/Medium,Normal (170-185),2100000.0,,,78.0,52.0,56.0,65.0,34.0,48.0,63,50,46,57,48,67,56,45,43,63,81,76,71,49,68,66,46,52,48,45,43,22,49,62,47,54.0,32,36,46,5,9,10,7,8,,56+2,56+2,56+2,61,59,59,59,61,59+2,59+2,59+2,60+2,53+2,53+2,53+2,60+2,51+2,44+2,44+2,44+2,51+2,49+2,41+2,41+2,41+2,49+2,12+2,https://cdn.sofifa.net/players/259/403/23_120.png,LM, RM,0.825
157546,260728,2022-09-26 00:00:00,2022.0,True,/player/260728/aaron-pressley/230002,ST,61,74,800000.0,6000.0,20,189,75,13.0,1.0,1925.0,RES,37.0,,Right,3,2,1,Medium/Low,Normal (185+),2000000.0,,Injury Prone,70.0,59.0,44.0,58.0,23.0,68.0,31,64,59,52,54,57,36,43,31,60,68,72,54,58,57,57,68,59,74,50,66,18,63,53,58,58.0,17,21,20,9,12,8,7,6,,61+2,61+2,61+2,57,59,59,59,57,57+2,57+2,57+2,55+2,49+2,49+2,49+2,55+2,41+2,40+2,40+2,40+2,41+2,39+2,40+2,40+2,40+2,39+2,14+2,https://cdn.sofifa.net/players/260/728/23_120.png,ST,,0.8
157571,261892,2022-09-26 00:00:00,2022.0,True,/player/261892/denis-franchi/230002,GK,61,73,675000.0,2000.0,19,189,81,14.0,2.0,1796.0,RES,20.0,,Right,2,1,1,Medium/Medium,Lean (185+),1400000.0,,,,,,,,,8,9,10,28,9,13,20,10,23,20,35,39,37,53,45,44,60,30,58,8,23,13,11,27,15,31.0,13,15,12,62,60,59,59,65,37.0,24+2,24+2,24+2,22,23,23,23,22,23+2,23+2,23+2,23+2,24+2,24+2,24+2,23+2,22+2,24+2,24+2,24+2,22+2,22+2,23+2,23+2,23+2,22+2,60+2,https://cdn.sofifa.net/players/261/892/23_120.png,GK,,0.675
157625,264115,2022-09-26 00:00:00,2022.0,True,/player/264115/dylan-williams/230002,"LWB, LB",61,76,725000.0,4000.0,18,170,64,13.0,1.0,5.0,RES,55.0,,Left,2,2,1,High/Medium,Lean (170-),1800000.0,,,66.0,36.0,51.0,60.0,55.0,51.0,63,36,48,50,38,58,53,34,47,57,66,66,68,57,85,34,66,71,37,34,55,53,55,48,33,50.0,52,59,60,12,8,5,12,8,,48+2,48+2,48+2,55,52,52,52,55,53+2,53+2,53+2,56+2,53+2,53+2,53+2,56+2,59+2,54+2,54+2,54+2,59+2,59+2,53+2,53+2,53+2,59+2,15+2,https://cdn.sofifa.net/players/264/115/23_120.png,LWB, LB,0.725
157656,265789,2022-09-26 00:00:00,2022.0,True,/player/265789/charlie-savage/230002,"CDM, CM",61,79,800000.0,7000.0,19,182,63,13.0,1.0,11.0,RES,51.0,,Left,3,3,1,Medium/Medium,Lean (170-185),2000000.0,,Long Passer (AI),58.0,44.0,62.0,59.0,56.0,58.0,55,37,50,65,36,57,64,52,65,61,61,55,63,63,55,54,55,62,59,48,52,55,54,65,44,66.0,58,58,54,8,7,15,9,11,,53+2,53+2,53+2,57,56,56,56,57,59+2,59+2,59+2,59+2,61+2,61+2,61+2,59+2,58+2,60+2,60+2,60+2,58+2,58+2,57+2,57+2,57+2,58+2,15+2,https://cdn.sofifa.net/players/265/789/23_120.png,CDM, CM,0.8
157697,267868,2022-09-26 00:00:00,2022.0,True,/player/267868/sammy-braybrooke/230002,"CM, CDM",61,79,825000.0,4000.0,18,184,66,13.0,1.0,95.0,RES,44.0,,Right,3,2,1,Medium/Medium,Lean (170-185),2100000.0,,,68.0,51.0,62.0,64.0,50.0,50.0,51,47,47,66,50,65,60,57,64,66,66,70,64,57,67,66,57,56,47,48,49,43,53,64,45,56.0,48,56,53,12,11,9,6,11,,57+2,57+2,57+2,60,60,60,60,60,62+2,62+2,62+2,61+2,61+2,61+2,61+2,61+2,56+2,56+2,56+2,56+2,56+2,56+2,52+2,52+2,52+2,56+2,15+2,https://cdn.sofifa.net/players/267/868/23_120.png,CM, CDM,0.825
157785,270937,2022-09-26 00:00:00,2022.0,True,/player/270937/luke-harris/230002,CAM,61,84,1000000.0,1000.0,17,168,63,13.0,1.0,144.0,RES,38.0,,Right,3,2,1,Medium/Medium,Lean (170-),2900000.0,,,57.0,60.0,57.0,66.0,37.0,45.0,52,65,41,61,55,66,58,50,53,64,65,50,74,59,75,58,57,46,40,53,55,33,61,57,47,68.0,42,34,36,6,9,6,8,8,,58+2,58+2,58+2,61,61,61,61,61,61+2,61+2,61+2,60+2,56+2,56+2,56+2,60+2,49+2,48+2,48+2,48+2,49+2,46+2,43+2,43+2,43+2,46+2,13+2,https://cdn.sofifa.net/players/270/937/23_120.png,CAM,,1.0
157819,271574,2022-09-26 00:00:00,2022.0,True,/player/271574/rico-lewis/230002,RB,61,82,1000000.0,650.0,17,175,70,13.0,1.0,10.0,SUB,82.0,,Right,3,2,1,High/Medium,Normal (170-185),2900000.0,,,63.0,37.0,43.0,59.0,60.0,51.0,58,37,48,41,30,69,41,42,32,45,66,60,53,63,75,31,60,55,47,35,56,63,55,38,50,45.0,52,67,68,11,8,11,12,13,,48+2,48+2,48+2,53,50,50,50,53,49+2,49+2,49+2,53+2,47+2,47+2,47+2,53+2,58+2,52+2,52+2,52+2,58+2,59+2,57+2,57+2,57+2,59+2,17+2,https://cdn.sofifa.net/players/271/574/23_120.png,RB,,1.0
157822,271668,2022-09-26 00:00:00,2022.0,True,/player/271668/xavier-simons/230002,"CDM, CM, RB",61,77,800000.0,2000.0,19,183,81,14.0,2.0,1952.0,RES,35.0,,Right,2,3,1,Medium/High,Normal (170-185),2000000.0,,"Dives Into Tackles (AI), Long Passer (AI)",65.0,46.0,60.0,62.0,59.0,63.0,55,43,59,62,40,63,54,47,63,62,65,65,58,56,71,54,55,55,63,46,74,54,39,63,52,53.0,57,63,62,15,7,8,14,7,,53+2,53+2,53+2,57,56,56,56,57,58+2,58+2,58+2,58+2,59+2,59+2,59+2,58+2,59+2,60+2,60+2,60+2,59+2,59+2,61+2,61+2,61+2,59+2,16+2,https://cdn.sofifa.net/players/271/668/23_120.png,CDM, CM,0.8
157891,222503,2022-09-26 00:00:00,2022.0,True,/player/222503/harry-isted/230002,GK,60,63,250000.0,4000.0,25,186,74,14.0,2.0,1923.0,RES,21.0,,Right,3,1,1,Medium/Medium,Normal (185+),494000.0,,,,,,,,,16,14,18,24,17,16,13,14,22,19,35,36,34,53,41,44,42,25,37,19,18,11,9,19,31,38.0,12,14,18,62,58,59,58,62,35.0,24+2,24+2,24+2,22,23,23,23,22,22+2,22+2,22+2,23+2,22+2,22+2,22+2,23+2,22+2,21+2,21+2,21+2,22+2,22+2,21+2,21+2,21+2,22+2,59+2,https://cdn.sofifa.net/players/222/503/23_120.png,GK,,0.25
157939,233441,2022-09-26 00:00:00,2022.0,True,/player/233441/tolaji-bola/230002,"LB, LWB",60,68,525000.0,2000.0,23,188,80,14.0,2.0,1797.0,SUB,15.0,,Left,2,2,1,Medium/Medium,Normal (185+),1100000.0,,,68.0,37.0,46.0,55.0,57.0,61.0,52,36,54,55,35,53,44,32,36,55,68,68,62,53,61,47,66,60,63,29,55,53,44,37,42,49.0,54,61,60,8,13,6,12,5,,49+2,49+2,49+2,51,49,49,49,51,49+2,49+2,49+2,52+2,48+2,48+2,48+2,52+2,57+2,53+2,53+2,53+2,57+2,58+2,57+2,57+2,57+2,58+2,14+2,https://cdn.sofifa.net/players/233/441/23_120.png,LB, LWB,0.525
157996,242854,2022-09-26 00:00:00,2022.0,True,/player/242854/stephen-walker/230002,"RW, ST",60,73,600000.0,4000.0,21,181,72,14.0,2.0,12.0,RES,47.0,,Right,2,3,1,Medium/Medium,Lean (170-185),1500000.0,,,75.0,57.0,50.0,62.0,33.0,55.0,48,58,56,55,46,62,39,36,47,60,78,73,69,54,79,58,71,63,57,54,35,32,59,53,61,55.0,29,30,35,5,10,6,9,15,,59+2,59+2,59+2,60,60,60,60,60,58+2,58+2,58+2,59+2,53+2,53+2,53+2,59+2,49+2,45+2,45+2,45+2,49+2,47+2,42+2,42+2,42+2,47+2,14+2,https://cdn.sofifa.net/players/242/854/23_120.png,RW, ST,0.6
158021,245531,2022-09-26 00:00:00,2022.0,True,/player/245531/ryan-stirk/230002,"CDM, CM",60,68,525000.0,4000.0,21,178,75,14.0,2.0,88.0,SUB,47.0,,Left,3,2,1,Medium/High,Lean (170-185),1100000.0,,,71.0,51.0,57.0,60.0,57.0,66.0,55,50,54,60,43,58,45,44,59,59,74,68,71,57,67,57,64,66,65,53,67,57,55,60,40,59.0,54,60,59,9,10,9,14,11,,57+2,57+2,57+2,59,58,58,58,59,59+2,59+2,59+2,60+2,59+2,59+2,59+2,60+2,60+2,59+2,59+2,59+2,60+2,60+2,59+2,59+2,59+2,60+2,16+2,https://cdn.sofifa.net/players/245/531/23_120.png,CDM, CM,0.525
158024,246002,2022-09-26 00:00:00,2022.0,True,/player/246002/luke-matheson/230002,"RB, RWB",60,76,600000.0,5000.0,19,168,62,13.0,1.0,110.0,RES,41.0,,Right,2,3,1,Medium/Medium,Normal (170-),1500000.0,,Long Throw-in,73.0,37.0,52.0,59.0,54.0,53.0,53,31,45,56,33,52,45,38,43,58,77,70,82,55,84,43,70,69,44,39,53,57,53,54,43,51.0,56,53,54,11,9,6,11,8,,49+2,49+2,49+2,55,53,53,53,55,54+2,54+2,54+2,56+2,53+2,53+2,53+2,56+2,58+2,55+2,55+2,55+2,58+2,58+2,54+2,54+2,54+2,58+2,15+2,https://cdn.sofifa.net/players/246/002/23_120.png,RB, RWB,0.6
158100,253461,2022-09-26 00:00:00,2022.0,True,/player/253461/luke-cundle/230002,"CM, CAM",60,76,650000.0,3000.0,20,170,62,14.0,2.0,1960.0,SUB,18.0,,Right,3,2,1,Medium/Medium,Lean (170-),1600000.0,,,66.0,56.0,61.0,61.0,51.0,45.0,55,56,38,66,51,58,51,52,65,59,74,60,76,58,81,59,50,59,32,58,60,52,56,60,47,60.0,50,55,50,14,12,6,6,13,,55+2,55+2,55+2,60,59,59,59,60,61+2,61+2,61+2,60+2,60+2,60+2,60+2,60+2,57+2,57+2,57+2,57+2,57+2,56+2,51+2,51+2,51+2,56+2,16+2,https://cdn.sofifa.net/players/253/461/23_120.png,CM, CAM,0.65
158108,254113,2022-09-26 00:00:00,2022.0,True,/player/254113/chem-campbell/230002,"CAM, LW",60,78,625000.0,6000.0,19,180,72,13.0,1.0,110.0,SUB,77.0,,Right,4,4,1,High/Medium,Lean (170-185),1600000.0,,Technical Dribbler (AI),71.0,56.0,57.0,65.0,41.0,52.0,57,54,42,58,52,66,64,63,54,65,75,67,71,53,74,62,59,55,53,57,45,31,52,56,57,56.0,42,45,43,11,11,12,7,7,,57+2,57+2,57+2,61,59,59,59,61,60+2,60+2,60+2,60+2,56+2,56+2,56+2,60+2,52+2,49+2,49+2,49+2,52+2,51+2,46+2,46+2,46+2,51+2,14+2,https://cdn.sofifa.net/players/254/113/23_120.png,CAM, LW,0.625
158145,256488,2022-09-26 00:00:00,2022.0,True,/player/256488/matthew-cox/230002,GK,60,77,575000.0,2000.0,19,182,74,13.0,1.0,1925.0,RES,34.0,,Right,3,1,1,Medium/Medium,Normal (170-185),1500000.0,,,,,,,,,8,7,9,35,6,8,13,10,36,21,33,26,36,50,43,49,59,20,36,6,20,9,9,40,10,38.0,7,10,11,63,60,65,58,60,30.0,21+2,21+2,21+2,21,23,23,23,21,25+2,25+2,25+2,23+2,26+2,26+2,26+2,23+2,19+2,23+2,23+2,23+2,19+2,18+2,18+2,18+2,18+2,18+2,59+2,https://cdn.sofifa.net/players/256/488/23_120.png,GK,,0.575
158150,256813,2022-09-26 00:00:00,2022.0,True,/player/256813/nico-gordon/230002,"CB, RB",60,73,550000.0,4000.0,20,183,72,14.0,2.0,88.0,RES,25.0,,Right,2,2,1,Medium/High,Lean (170-185),1400000.0,,,64.0,27.0,35.0,42.0,62.0,66.0,27,25,60,48,26,40,24,31,32,31,63,65,61,52,67,33,66,61,70,23,60,61,25,27,42,45.0,61,64,60,6,9,13,7,8,,40+2,40+2,40+2,39,38,38,38,39,38+2,38+2,38+2,40+2,40+2,40+2,40+2,40+2,52+2,52+2,52+2,52+2,52+2,55+2,60+2,60+2,60+2,55+2,13+2,https://cdn.sofifa.net/players/256/813/23_120.png,CB, RB,0.55
